home,nbhd,offers,sqft,brick,bedrooms,bathrooms,price
61,nbhd03,1,2200,No,3,3,180900
62,nbhd01,2,1610,No,2,2,100900
63,nbhd03,2,2220,No,4,3,161300
64,nbhd02,2,1910,No,2,3,120500
65,nbhd03,2,1860,No,3,2,130300
66,nbhd01,1,1450,Yes,2,2,111100
67,nbhd01,4,2210,No,3,3,126200
68,nbhd02,3,2040,No,4,3,151900
69,nbhd01,4,2140,No,3,2,93600
70,nbhd03,3,2080,No,4,3,165600
71,nbhd03,3,1950,Yes,3,3,166700
72,nbhd03,1,2160,No,4,2,157600
73,nbhd01,3,1650,No,3,2,107300
74,nbhd02,2,2040,No,3,3,125700
75,nbhd03,3,2140,No,3,3,144200
76,nbhd01,2,1900,No,2,2,106900
77,nbhd03,2,1930,No,3,2,129800
78,nbhd03,3,2280,Yes,4,3,176500
79,nbhd01,3,2130,No,3,2,121300
80,nbhd03,1,1780,No,4,2,143600
81,nbhd02,4,2190,Yes,3,3,143400
82,nbhd03,2,2140,Yes,4,3,184300
83,nbhd03,1,2050,Yes,2,2,164800
84,nbhd02,2,2410,No,3,3,147700
85,nbhd01,3,1520,No,2,2,90500
86,nbhd03,2,2250,Yes,4,3,188300
87,nbhd01,4,1900,No,4,2,102700
88,nbhd03,1,1880,Yes,3,3,172500
89,nbhd01,2,1930,No,3,3,127700
90,nbhd01,4,2010,No,2,2,97800
91,nbhd03,2,1920,No,4,2,143100
92,nbhd02,2,2150,No,3,2,116500
93,nbhd03,2,2110,No,3,2,142600
94,nbhd02,2,2080,No,3,3,157100
95,nbhd03,3,2150,Yes,4,3,160600
96,nbhd03,1,1970,Yes,2,2,152500
97,nbhd02,3,2440,No,3,3,133300
98,nbhd02,1,2000,Yes,2,2,126800
99,nbhd03,1,2060,No,3,2,145500
100,nbhd03,2,2080,Yes,3,3,171000
101,nbhd01,5,2010,No,3,2,103200
102,nbhd02,5,2260,No,3,3,123100
103,nbhd02,4,2410,No,3,3,136800
104,nbhd03,3,2440,Yes,4,3,211200
105,nbhd02,4,1910,No,3,2,82300
106,nbhd03,4,2530,No,4,3,146900
107,nbhd01,4,2130,No,3,2,108500
108,nbhd02,1,1890,Yes,3,2,134000
109,nbhd02,3,1990,Yes,3,3,117000
110,nbhd02,3,2110,No,3,2,108700
111,nbhd01,1,1710,No,2,2,111600
112,nbhd01,2,1740,No,2,2,114900
113,nbhd02,2,1940,Yes,2,2,123600
114,nbhd01,3,2000,Yes,3,2,115700
115,nbhd02,2,2010,No,4,3,124500
116,nbhd01,3,1900,No,3,3,102500
117,nbhd03,1,2290,Yes,5,4,199500
118,nbhd01,2,1920,No,3,2,117800
119,nbhd01,3,1950,Yes,3,2,150200
120,nbhd01,4,1920,No,2,2,109700
121,nbhd01,3,1930,No,2,3,110400
122,nbhd02,3,1930,No,3,3,105600
123,nbhd02,1,2060,Yes,2,2,144800
124,nbhd02,3,1900,Yes,3,3,119700
125,nbhd02,3,2160,Yes,4,3,147900
126,nbhd01,2,2070,No,2,2,113500
127,nbhd03,1,2020,No,3,3,149900
128,nbhd01,4,2250,No,3,3,124600
