"SAT.V","SAT.Q","SAT.C","School","GPA","Status"
700,700,1400,"ENGINEERING",3.5766,"G"
550,710,1260,"NATURAL SCIENCE",2.5083,"G"
650,790,1440,"ENGINEERING",3.1166,"G"
780,670,1450,"NATURAL SCIENCE",3.5845,"G"
600,640,1240,"LIBERAL ARTS",3.26,"G"
580,670,1250,"NATURAL SCIENCE",3.1452,"G"
550,490,1040,"NATURAL SCIENCE",2.8796,"G"
480,600,1080,"LIBERAL ARTS",3.26,"G"
690,630,1320,"LIBERAL ARTS",3.1232,"G"
540,610,1150,"LIBERAL ARTS",3.3387,"G"
600,570,1170,"FINE ARTS",3.4765,"G"
560,560,1120,"BUSINESS",2.6688,"G"
480,670,1150,"ENGINEERING",2.8359,"G"
650,640,1290,"NATURAL SCIENCE",3.2826,"G"
750,680,1430,"BUSINESS",3.6017,"G"
700,750,1450,"ENGINEERING",2.0859,"G"
540,650,1190,"NATURAL SCIENCE",3.1727,"G"
630,660,1290,"NATURAL SCIENCE",3.5114,"G"
700,560,1260,"FINE ARTS",3.9052,"G"
630,590,1220,"BUSINESS",3.9672,"G"
600,550,1150,"LIBERAL ARTS",3.3958,"G"
670,760,1430,"BUSINESS",3.6538,"G"
700,720,1420,"ENGINEERING",3.8225,"G"
710,610,1320,"LIBERAL ARTS",3.7168,"G"
500,440,940,"LIBERAL ARTS",2.8984,"G"
680,800,1480,"ENGINEERING",3.968,"G"
590,560,1150,"LIBERAL ARTS",2.6688,"G"
580,530,1110,"COMMUNICATIONS",3.6526,"G"
650,760,1410,"LIBERAL ARTS",3.2982,"G"
560,720,1280,"NATURAL SCIENCE",2.5661,"G"
640,690,1330,"BUSINESS",2.9545,"G"
560,610,1170,"NATURAL SCIENCE",3.1791,"G"
560,640,1200,"NATURAL SCIENCE",3.832,"G"
600,580,1180,"BUSINESS",3.2524,"G"
540,440,980,"LIBERAL ARTS",2.9444,"G"
690,590,1280,"LIBERAL ARTS",2.8114,"G"
630,720,1350,"ENGINEERING",3.6535,"G"
470,530,1000,"LIBERAL ARTS",3.4158,"G"
510,650,1160,"NATURAL SCIENCE",2.9219,"G"
640,700,1340,"COMMUNICATIONS",2.9449,"G"
650,800,1450,"ENGINEERING",3.2705,"G"
630,720,1350,"LIBERAL ARTS",3.7413,"G"
600,660,1260,"BUSINESS",3.647,"G"
500,700,1200,"NATURAL SCIENCE",2.9065,"G"
540,620,1160,"NATURAL SCIENCE",3.7317,"G"
570,710,1280,"BUSINESS",3.8264,"G"
710,720,1430,"BUSINESS",3.4833,"G"
560,710,1270,"BUSINESS",3.75,"G"
710,720,1430,"LIBERAL ARTS",3.2865,"G"
610,650,1260,"COMMUNICATIONS",3.9361,"G"
670,530,1200,"COMMUNICATIONS",3.7131,"G"
460,510,970,"COMMUNICATIONS",3.0396,"G"
500,670,1170,"BUSINESS",3.1165,"G"
520,640,1160,"BUSINESS",3.3578,"G"
580,670,1250,"BUSINESS",2.4233,"G"
600,650,1250,"NATURAL SCIENCE",2.6691,"G"
610,740,1350,"BUSINESS",3.5983,"G"
650,740,1390,"ENGINEERING",3.0215,"G"
580,440,1020,"LIBERAL ARTS",3.5546,"G"
600,640,1240,"NATURAL SCIENCE",2.406,"G"
560,580,1140,"NATURAL SCIENCE",3.8461,"G"
650,710,1360,"LIBERAL ARTS",3.1192,"G"
790,800,1590,"BUSINESS",4,"G"
500,580,1080,"LIBERAL ARTS",3.1355,"G"
510,720,1230,"ENGINEERING",3.1395,"G"
490,530,1020,"LIBERAL ARTS",2.6046,"G"
660,660,1320,"NATURAL SCIENCE",3.8623,"G"
530,590,1120,"BUSINESS",3.115,"G"
660,750,1410,"LIBERAL ARTS",2.8434,"G"
630,540,1170,"EDUCATION",3.7478,"G"
580,470,1050,"NATURAL SCIENCE",3.2241,"G"
560,660,1220,"NATURAL SCIENCE",2.7647,"G"
680,650,1330,"FINE ARTS",3.8571,"G"
580,740,1320,"ENGINEERING",3.9295,"G"
720,690,1410,"ENGINEERING",3.3548,"G"
750,650,1400,"LIBERAL ARTS",3.5281,"G"
480,540,1020,"ENGINEERING",3.1,"G"
530,510,1040,"BUSINESS",3.3211,"G"
600,710,1310,"COMMUNICATIONS",3.6,"G"
600,740,1340,"NATURAL SCIENCE",3.129,"G"
650,740,1390,"BUSINESS",3.7767,"G"
450,450,900,"NATURAL SCIENCE",3.2647,"G"
570,530,1100,"LIBERAL ARTS",3.7391,"G"
680,610,1290,"NATURAL SCIENCE",3.6818,"G"
710,710,1420,"NATURAL SCIENCE",3.8085,"G"
780,790,1570,"BUSINESS",3.8211,"G"
790,760,1550,"BUSINESS",3.7583,"G"
540,650,1190,"BUSINESS",3.6915,"G"
690,740,1430,"LIBERAL ARTS",3.84,"G"
720,770,1490,"ENGINEERING",3.1842,"G"
580,530,1110,"LIBERAL ARTS",3.4424,"G"
560,600,1160,"LIBERAL ARTS",3.1086,"G"
680,700,1380,"BUSINESS",3.5784,"G"
640,640,1280,"ENGINEERING",3.2312,"G"
630,630,1260,"NATURAL SCIENCE",2.971,"G"
500,580,1080,"LIBERAL ARTS",3.0884,"G"
790,740,1530,"COMMUNICATIONS",3.7972,"G"
660,610,1270,"COMMUNICATIONS",3.8584,"G"
540,470,1010,"NATURAL SCIENCE",3.4711,"G"
720,520,1240,"LIBERAL ARTS",2.7538,"G"
640,620,1260,"LIBERAL ARTS",3.5851,"G"
570,520,1090,"LIBERAL ARTS",2.8191,"G"
620,730,1350,"BUSINESS",2.7478,"G"
710,690,1400,"LIBERAL ARTS",2.8691,"G"
570,660,1230,"BUSINESS",4,"G"
630,590,1220,"LIBERAL ARTS",3.0268,"G"
630,590,1220,"LIBERAL ARTS",3.3442,"G"
380,540,920,"LIBERAL ARTS",2.6132,"G"
570,600,1170,"LIBERAL ARTS",3.1098,"G"
480,580,1060,"LIBERAL ARTS",2.8139,"G"
570,640,1210,"FINE ARTS",3.8,"G"
520,630,1150,"NATURAL SCIENCE",2.6551,"G"
730,710,1440,"LIBERAL ARTS",3.1735,"G"
700,620,1320,"LIBERAL ARTS",3.2714,"G"
690,490,1180,"EDUCATION",2.5681,"G"
510,580,1090,"BUSINESS",2.3781,"G"
600,670,1270,"LIBERAL ARTS",3.8446,"G"
620,620,1240,"BUSINESS",3.5064,"G"
680,740,1420,"NATURAL SCIENCE",3.892,"G"
670,700,1370,"LIBERAL ARTS",3.4489,"G"
650,650,1300,"LIBERAL ARTS",3.9186,"G"
700,660,1360,"ENGINEERING",3.8362,"G"
750,790,1540,"NATURAL SCIENCE",3.7967,"G"
630,540,1170,"LIBERAL ARTS",2.466,"G"
770,640,1410,"LIBERAL ARTS",3.2975,"G"
540,610,1150,"NATURAL SCIENCE",3.2959,"G"
690,670,1360,"LIBERAL ARTS",2.5267,"G"
690,800,1490,"ENGINEERING",3.8913,"G"
770,630,1400,"COMMUNICATIONS",3.2051,"G"
530,570,1100,"LIBERAL ARTS",3.1595,"G"
650,580,1230,"ENGINEERING",3.0245,"G"
540,620,1160,"FINE ARTS",3.3606,"G"
650,660,1310,"BUSINESS",3.9439,"G"
760,690,1450,"LIBERAL ARTS",3.7445,"G"
570,590,1160,"BUSINESS",3.4134,"G"
720,670,1390,"BUSINESS",3.8723,"G"
630,640,1270,"LIBERAL ARTS",3.2666,"G"
510,540,1050,"BUSINESS",2.8425,"G"
550,530,1080,"LIBERAL ARTS",3.2989,"G"
650,690,1340,"LIBERAL ARTS",3.68,"G"
590,570,1160,"FINE ARTS",3.2777,"G"
690,660,1350,"LIBERAL ARTS",3.8672,"G"
640,650,1290,"NATURAL SCIENCE",3.6384,"G"
600,620,1220,"LIBERAL ARTS",2.7551,"G"
540,540,1080,"LIBERAL ARTS",3,"G"
570,650,1220,"NATURAL SCIENCE",2.6541,"G"
570,640,1210,"NATURAL SCIENCE",4,"G"
690,680,1370,"NATURAL SCIENCE",3.8461,"G"
730,650,1380,"LIBERAL ARTS",3.9512,"G"
600,640,1240,"LIBERAL ARTS",2.8911,"G"
710,650,1360,"ENGINEERING",3.7934,"G"
540,740,1280,"ENGINEERING",3.4594,"G"
480,590,1070,"NATURAL SCIENCE",2.4786,"G"
690,710,1400,"LIBERAL ARTS",3.8487,"G"
560,660,1220,"EDUCATION",3.8181,"G"
590,580,1170,"LIBERAL ARTS",2.835,"G"
670,790,1460,"ENGINEERING",3.6861,"G"
620,570,1190,"NATURAL SCIENCE",3.4,"G"
610,490,1100,"LIBERAL ARTS",2.5,"G"
650,770,1420,"NATURAL SCIENCE",4,"G"
530,580,1110,"LIBERAL ARTS",3.1666,"G"
700,610,1310,"LIBERAL ARTS",3.198,"G"
510,520,1030,"LIBERAL ARTS",3.3854,"G"
560,680,1240,"EDUCATION",3.2164,"G"
590,540,1130,"LIBERAL ARTS",2.6803,"G"
630,710,1340,"NATURAL SCIENCE",3.4821,"G"
690,600,1290,"LIBERAL ARTS",3.62,"G"
650,650,1300,"LIBERAL ARTS",2.6637,"G"
800,750,1550,"ENGINEERING",3.777,"G"
590,590,1180,"NATURAL SCIENCE",3.4586,"G"
670,710,1380,"ENGINEERING",3.3088,"G"
590,590,1180,"NATURAL SCIENCE",3.254,"G"
660,640,1300,"BUSINESS",3.9459,"G"
580,620,1200,"ENGINEERING",2.603,"G"
590,570,1160,"LIBERAL ARTS",3.3508,"G"
520,660,1180,"LIBERAL ARTS",3.1212,"G"
620,710,1330,"ARCHITECTURE",3.902,"G"
660,620,1280,"LIBERAL ARTS",3.5188,"G"
580,760,1340,"LIBERAL ARTS",3.375,"G"
450,620,1070,"BUSINESS",3.0093,"G"
560,580,1140,"NATURAL SCIENCE",2.931,"G"
720,670,1390,"NATURAL SCIENCE",3.8018,"G"
670,790,1460,"NATURAL SCIENCE",3.9808,"G"
630,710,1340,"ENGINEERING",3.0151,"G"
700,590,1290,"LIBERAL ARTS",3.9565,"G"
610,730,1340,"ENGINEERING",3.6694,"G"
560,660,1220,"COMMUNICATIONS",4,"G"
640,680,1320,"NATURAL SCIENCE",2.3157,"G"
540,550,1090,"NATURAL SCIENCE",3.1848,"G"
700,690,1390,"ENGINEERING",3.921,"G"
570,610,1180,"NATURAL SCIENCE",3.3642,"G"
670,630,1300,"LIBERAL ARTS",4,"G"
530,590,1120,"LIBERAL ARTS",2.673,"G"
630,600,1230,"LIBERAL ARTS",3.0833,"G"
690,800,1490,"NATURAL SCIENCE",3.5942,"G"
440,430,870,"LIBERAL ARTS",3.7812,"G"
580,610,1190,"BUSINESS",3.26,"G"
560,610,1170,"ENGINEERING",2.4068,"G"
740,720,1460,"ARCHITECTURE",4,"G"
510,560,1070,"NATURAL SCIENCE",3.9224,"G"
700,640,1340,"LIBERAL ARTS",3.8032,"G"
540,640,1180,"NATURAL SCIENCE",2.9448,"G"
710,760,1470,"ENGINEERING",2.7777,"G"
580,650,1230,"NATURAL SCIENCE",3.6615,"G"
560,630,1190,"LIBERAL ARTS",3.1403,"G"
740,700,1440,"NATURAL SCIENCE",3.0645,"G"
550,590,1140,"LIBERAL ARTS",2.9,"G"
660,650,1310,"LIBERAL ARTS",3.2083,"G"
600,560,1160,"NATURAL SCIENCE",3.1926,"G"
680,610,1290,"LIBERAL ARTS",3.3723,"G"
670,680,1350,"LIBERAL ARTS",3.4166,"G"
470,580,1050,"ENGINEERING",3.248,"G"
640,740,1380,"COMMUNICATIONS",3.7142,"G"
800,630,1430,"LIBERAL ARTS",3.5048,"G"
760,620,1380,"LIBERAL ARTS",3.8396,"G"
380,520,900,"ENGINEERING",3.1594,"G"
630,670,1300,"NATURAL SCIENCE",2.745,"G"
710,690,1400,"LIBERAL ARTS",3.8598,"G"
680,630,1310,"LIBERAL ARTS",3.9381,"G"
630,620,1250,"COMMUNICATIONS",3.7474,"G"
520,580,1100,"LIBERAL ARTS",2.2421,"G"
610,520,1130,"LIBERAL ARTS",3.1652,"G"
570,580,1150,"BUSINESS",3.5227,"G"
670,670,1340,"ENGINEERING",3.9347,"G"
630,560,1190,"NATURAL SCIENCE",3.6504,"G"
710,780,1490,"ENGINEERING",3.6763,"G"
630,580,1210,"FINE ARTS",3.3113,"G"
710,710,1420,"LIBERAL ARTS",3.9181,"G"
440,450,890,"LIBERAL ARTS",3.5982,"G"
590,670,1260,"BUSINESS",3.3719,"G"
610,640,1250,"LIBERAL ARTS",2.783,"G"
540,690,1230,"LIBERAL ARTS",3.1056,"G"
760,770,1530,"NATURAL SCIENCE",3.5901,"G"
630,790,1420,"ARCHITECTURE",3.9219,"G"
480,710,1190,"BUSINESS",3.5148,"G"
710,640,1350,"LIBERAL ARTS",2.6982,"G"
510,490,1000,"LIBERAL ARTS",3,"G"
730,710,1440,"BUSINESS",3.6465,"G"
630,610,1240,"FINE ARTS",3.6019,"G"
510,630,1140,"LIBERAL ARTS",3.1065,"G"
530,620,1150,"LIBERAL ARTS",3.7714,"G"
710,630,1340,"COMMUNICATIONS",3.9719,"G"
630,600,1230,"NATURAL SCIENCE",3.7009,"G"
520,460,980,"LIBERAL ARTS",3.3125,"G"
540,760,1300,"ENGINEERING",3.1404,"G"
740,770,1510,"ENGINEERING",3.5757,"G"
630,690,1320,"BUSINESS",3.8739,"G"
750,680,1430,"LIBERAL ARTS",3.5966,"G"
700,630,1330,"COMMUNICATIONS",3.2805,"G"
540,640,1180,"LIBERAL ARTS",2.8017,"G"
650,580,1230,"LIBERAL ARTS",3.5,"G"
550,650,1200,"EDUCATION",2.6428,"G"
650,670,1320,"LIBERAL ARTS",3.8974,"G"
520,590,1110,"BUSINESS",3.4392,"G"
430,500,930,"LIBERAL ARTS",2.4435,"G"
650,700,1350,"NATURAL SCIENCE",4,"G"
580,570,1150,"LIBERAL ARTS",2.8318,"G"
700,720,1420,"NATURAL SCIENCE",3.5968,"G"
530,410,940,"COMMUNICATIONS",2.8548,"G"
580,650,1230,"LIBERAL ARTS",3.5039,"G"
630,650,1280,"ARCHITECTURE",3.2888,"G"
600,550,1150,"BUSINESS",3.8857,"G"
590,560,1150,"LIBERAL ARTS",3.3125,"G"
640,710,1350,"ENGINEERING",2.5,"G"
710,580,1290,"NATURAL SCIENCE",2.9509,"G"
540,580,1120,"NATURAL SCIENCE",2.4205,"G"
710,720,1430,"BUSINESS",3.629,"G"
600,630,1230,"LIBERAL ARTS",3.8015,"G"
600,560,1160,"LIBERAL ARTS",2.2935,"G"
630,710,1340,"NATURAL SCIENCE",3.5648,"G"
520,580,1100,"LIBERAL ARTS",3.6888,"G"
710,580,1290,"NATURAL SCIENCE",2.912,"G"
600,540,1140,"NATURAL SCIENCE",3.6896,"G"
510,520,1030,"NATURAL SCIENCE",2.909,"G"
530,600,1130,"BUSINESS",3.2148,"G"
530,660,1190,"LIBERAL ARTS",2.8983,"G"
640,560,1200,"BUSINESS",3.302,"G"
620,650,1270,"ENGINEERING",3.48,"G"
650,620,1270,"NATURAL SCIENCE",2.8372,"G"
510,490,1000,"EDUCATION",3.0458,"G"
520,540,1060,"COMMUNICATIONS",3.6237,"G"
490,490,980,"LIBERAL ARTS",2.8727,"G"
650,660,1310,"NATURAL SCIENCE",3.3688,"G"
800,710,1510,"ENGINEERING",3.8496,"G"
630,710,1340,"LIBERAL ARTS",2.4818,"G"
450,510,960,"BUSINESS",3.3928,"G"
660,510,1170,"LIBERAL ARTS",2.822,"G"
540,630,1170,"LIBERAL ARTS",3.144,"G"
710,560,1270,"BUSINESS",3.488,"G"
730,640,1370,"FINE ARTS",3.7226,"G"
610,670,1280,"ENGINEERING",2.7833,"G"
480,570,1050,"ENGINEERING",2.6451,"G"
700,530,1230,"LIBERAL ARTS",3.1588,"G"
750,700,1450,"BUSINESS",3.6415,"G"
390,620,1010,"FINE ARTS",2.9142,"G"
620,700,1320,"NATURAL SCIENCE",3.7864,"G"
590,490,1080,"NATURAL SCIENCE",3.7272,"G"
600,570,1170,"LIBERAL ARTS",2.6237,"G"
640,750,1390,"NATURAL SCIENCE",2.9556,"G"
620,560,1180,"BUSINESS",3.404,"G"
760,670,1430,"COMMUNICATIONS",2.9774,"G"
720,610,1330,"LIBERAL ARTS",2.8201,"G"
680,670,1350,"ENGINEERING",3.406,"G"
670,720,1390,"NATURAL SCIENCE",3.4464,"G"
580,710,1290,"NATURAL SCIENCE",3.1517,"G"
690,630,1320,"LIBERAL ARTS",2.8793,"G"
650,600,1250,"NATURAL SCIENCE",3.1682,"G"
630,570,1200,"NATURAL SCIENCE",2.632,"G"
670,790,1460,"ENGINEERING",3.9736,"G"
590,530,1120,"EDUCATION",3.0984,"G"
690,800,1490,"ENGINEERING",3.6065,"G"
570,650,1220,"COMMUNICATIONS",3.4757,"G"
570,610,1180,"LIBERAL ARTS",3.51,"G"
700,630,1330,"NATURAL SCIENCE",2.676,"G"
640,720,1360,"NATURAL SCIENCE",3.5952,"G"
700,700,1400,"LIBERAL ARTS",3.7459,"G"
600,560,1160,"BUSINESS",3.1965,"G"
520,530,1050,"NATURAL SCIENCE",2.7741,"G"
490,420,910,"LIBERAL ARTS",3.809,"G"
540,610,1150,"ENGINEERING",2.8309,"G"
480,620,1100,"BUSINESS",3.2187,"G"
550,590,1140,"LIBERAL ARTS",3.0808,"G"
660,700,1360,"LIBERAL ARTS",3.8839,"G"
630,700,1330,"BUSINESS",3.5703,"G"
750,680,1430,"LIBERAL ARTS",4,"G"
630,650,1280,"BUSINESS",3.6057,"G"
620,650,1270,"NATURAL SCIENCE",1.8372,"G"
490,440,930,"BUSINESS",3.2413,"G"
540,720,1260,"NATURAL SCIENCE",3.3664,"G"
610,610,1220,"NATURAL SCIENCE",2.5271,"G"
700,660,1360,"NATURAL SCIENCE",3.876,"G"
460,530,990,"LIBERAL ARTS",2.5691,"G"
720,790,1510,"ENGINEERING",3.3492,"G"
580,600,1180,"NATURAL SCIENCE",3.3015,"G"
500,570,1070,"NURSING",3.3649,"G"
560,800,1360,"ENGINEERING",2.7633,"G"
600,720,1320,"BUSINESS",3.2847,"G"
720,770,1490,"NATURAL SCIENCE",3.612,"G"
580,610,1190,"LIBERAL ARTS",3.1796,"G"
700,740,1440,"ENGINEERING",3.6928,"G"
540,630,1170,"LIBERAL ARTS",3.0088,"G"
520,470,990,"LIBERAL ARTS",2.7592,"G"
610,560,1170,"COMMUNICATIONS",3.7446,"G"
700,550,1250,"NATURAL SCIENCE",3.2012,"G"
590,630,1220,"LIBERAL ARTS",2.1646,"G"
700,610,1310,"NATURAL SCIENCE",2.8761,"G"
530,450,980,"LIBERAL ARTS",3.4871,"G"
490,560,1050,"LIBERAL ARTS",3.0923,"G"
800,660,1460,"NATURAL SCIENCE",2.6642,"G"
460,550,1010,"LIBERAL ARTS",2.6783,"G"
610,610,1220,"ENGINEERING",2.6619,"G"
580,670,1250,"NATURAL SCIENCE",2.785,"G"
630,640,1270,"LIBERAL ARTS",3.0648,"G"
530,640,1170,"NATURAL SCIENCE",2.5189,"G"
610,690,1300,"BUSINESS",3.9491,"G"
640,690,1330,"ENGINEERING",3.653,"G"
550,550,1100,"BUSINESS",3.3178,"G"
490,550,1040,"LIBERAL ARTS",2.6808,"G"
540,650,1190,"LIBERAL ARTS",2.6262,"G"
640,730,1370,"ARCHITECTURE",3.7304,"G"
600,680,1280,"NATURAL SCIENCE",2.6323,"G"
710,570,1280,"LIBERAL ARTS",3.5128,"G"
580,590,1170,"BUSINESS",3.2248,"G"
640,760,1400,"ENGINEERING",3.6393,"G"
580,710,1290,"LIBERAL ARTS",2.4491,"G"
550,650,1200,"LIBERAL ARTS",3.3177,"G"
530,520,1050,"EDUCATION",2.5609,"G"
680,610,1290,"COMMUNICATIONS",3.5677,"G"
590,550,1140,"NATURAL SCIENCE",2.648,"G"
570,650,1220,"NATURAL SCIENCE",2.4652,"G"
600,700,1300,"NATURAL SCIENCE",2.3839,"G"
550,710,1260,"BUSINESS",3.102,"G"
600,690,1290,"ENGINEERING",3.296,"G"
480,510,990,"LIBERAL ARTS",2.4237,"G"
540,550,1090,"LIBERAL ARTS",3.2719,"G"
760,710,1470,"NATURAL SCIENCE",2.8029,"G"
650,620,1270,"NATURAL SCIENCE",2.9256,"G"
640,560,1200,"LIBERAL ARTS",2.6818,"G"
650,720,1370,"ENGINEERING",3.8235,"G"
630,610,1240,"ENGINEERING",3.4234,"G"
740,740,1480,"BUSINESS",3.619,"G"
580,720,1300,"NATURAL SCIENCE",2.3984,"G"
700,750,1450,"ENGINEERING",2.6228,"G"
590,710,1300,"COMMUNICATIONS",3.125,"G"
540,650,1190,"ENGINEERING",3.4107,"G"
620,680,1300,"COMMUNICATIONS",2.5984,"G"
650,760,1410,"NATURAL SCIENCE",2.9589,"G"
630,630,1260,"LIBERAL ARTS",2.9826,"G"
550,560,1110,"LIBERAL ARTS",3.2844,"G"
670,580,1250,"LIBERAL ARTS",3.6076,"G"
380,510,890,"LIBERAL ARTS",2.0982,"G"
440,510,950,"ENGINEERING",3.0326,"G"
400,590,990,"EDUCATION",3.5339,"G"
620,540,1160,"LIBERAL ARTS",3.5294,"G"
590,600,1190,"BUSINESS",3.0673,"G"
630,620,1250,"BUSINESS",2.3025,"G"
520,530,1050,"BUSINESS",2.488,"G"
590,680,1270,"NATURAL SCIENCE",3,"G"
590,700,1290,"ENGINEERING",2.7898,"G"
730,640,1370,"LIBERAL ARTS",3.7573,"G"
630,620,1250,"NATURAL SCIENCE",3.8828,"G"
740,660,1400,"ENGINEERING",3.5701,"G"
670,730,1400,"BUSINESS",3.8151,"G"
620,640,1260,"ENGINEERING",2.4919,"G"
660,600,1260,"LIBERAL ARTS",3.425,"G"
530,630,1160,"LIBERAL ARTS",3.4038,"G"
690,640,1330,"BUSINESS",3.3643,"G"
570,490,1060,"LIBERAL ARTS",3.6272,"G"
750,730,1480,"ENGINEERING",3.4507,"G"
500,670,1170,"NATURAL SCIENCE",2.6296,"G"
650,710,1360,"BUSINESS",3.7281,"G"
610,790,1400,"ENGINEERING",3.8492,"G"
610,570,1180,"LIBERAL ARTS",3.4568,"G"
610,640,1250,"BUSINESS",3.3965,"G"
